comment_id,original_text,platform,date_collected
129,আশা করি গানটা খুবই খারাপ হবে। 😖,YouTube,2026-01-06
130,আমার মতে সিনেমাটা ভালো না খারাপ না।,Facebook,2026-01-15
131,ঝাক্কাস সার্ভিসটি! 🙌,Daraz,2026-03-24
132,ডেলিভারি বেকার হয়েছে।,YouTube,2026-01-06
133,আরও ভালো হতে পারত খাবারটা!,Facebook,2026-01-02
134,মনমুগ্ধকর কোয়ালিটির খাবারটা। 😛,Facebook,2026-02-17
135,এই অ্যাপটাটা বেশ বেকার। 🙁,Instagram,2026-02-23
136,তাদের ফোনটা একদম চমৎকার।,TikTok,2026-03-03
137,আশা করি প্যাকেজিং অস্থির হবে। 😎,Instagram,2026-03-04
138,ডেলিভারি মনমুগ্ধকর হয়েছে। 🙇,TikTok,2026-04-03
139,খাবারটা চলবে কিন্তু দাম বেশি। 🥾,Instagram,2026-02-14
140,গানটা জটিল হয়েছে।,YouTube,2026-03-06
141,আশা করি সার্ভিসটি ফাটাফাটি হবে।,Daraz,2026-01-07
142,খুবই খারাপ অ্যাপটা! 🙋,TikTok,2026-02-27
143,চমৎকার সিনেমাটা! 😂,TikTok,2026-03-12
144,ঠিক আছে কোয়ালিটির ডেলিভারি। 🦜,Facebook,2026-01-29
145,আশা করি প্যাকেজিং চলনসই হবে। 🥜,Facebook,2026-04-08
146,ভালো না খারাপ না ডেলিভারি!,YouTube,2026-03-05
147,আমার মতে সার্ভিসটি টাকা নষ্ট।,Instagram,2026-01-28
148,খাবারটা চলবে কিন্তু দাম বেশি।,TikTok,2026-01-16
149,গড়পড়তা কোয়ালিটির প্যাকেজিং।,Facebook,2026-03-12
150,তাদের গানটা একদম জঘন্য। 😭,Facebook,2026-02-19
151,গানটা অখাদ্য কিন্তু দাম বেশি। 🙁,YouTube,2026-02-05
152,তাদের সিনেমাটা একদম জঘন্য। 🙁,TikTok,2026-02-08
153,আমার মতে গানটা খুবই খারাপ।,Daraz,2026-03-29
154,ভালো না খারাপ না ফোনটা! 🧎,Instagram,2026-03-16
155,গানটা টাকা নষ্ট কিন্তু দাম বেশি। 😫,Facebook,2026-01-04
156,এই ডেলিভারিটা বেশ দারুণ। 😄,Facebook,2026-03-30
157,ভালো না খারাপ না কোয়ালিটির পণ্যটি।,TikTok,2026-01-29
158,গানটা সেরা হয়েছে। 😨,Instagram,2026-04-11
159,এই পণ্যটিটা বেশ মোটামুটি।,Instagram,2026-01-29
160,আমার মতে খাবারটা ঠিক আছে।,YouTube,2026-03-29
161,অ্যাপটা চমৎকার কিন্তু দাম বেশি।,Daraz,2026-01-17
162,তাদের খাবারটা একদম ফাটাফাটি।,Daraz,2026-03-18
163,আশা করি ডেলিভারি চলনসই হবে।,Daraz,2026-03-09
164,গানটা দারুণ কিন্তু দাম বেশি। 😩,Facebook,2026-02-14
165,এই খাবারটাটা বেশ প্রতারণা।,TikTok,2026-03-09
166,আশা করি পণ্যটি চলবে হবে। 🨦,TikTok,2026-03-21
167,এই সার্ভিসটিটা বেশ অখাদ্য। 😖,Facebook,2026-03-08
168,সিনেমাটা চলনসই হয়েছে।,YouTube,2026-02-11
169,গানটা ঝাক্কাস হয়েছে। 😓,YouTube,2026-03-29
170,তাদের অ্যাপটা একদম চলবে।,Daraz,2026-01-05
171,আমার মতে গানটা ফালতু। 😣,Instagram,2026-02-27
172,অ্যাপটা অসাধারণ হয়েছে। 🔥,TikTok,2026-01-06
173,সেরা ডেলিভারি!,Instagram,2026-02-18
174,আমার মতে ফোনটা বিরক্তিকর।,Instagram,2026-03-11
175,তাদের খাবারটা একদম বাজে।,Facebook,2026-03-15
176,আশা করি ডেলিভারি খুবই ভালো হবে।,TikTok,2026-01-19
177,তাদের ভিডিওটা একদম ফালতু। 😮,Facebook,2026-04-07
178,এই গানটাটা বেশ ফালতু। 😕,Facebook,2026-01-26
179,আমার মতে খাবারটা জঘন্য।,TikTok,2026-01-09
180,এই খাবারটাটা বেশ জঘন্য। 😭,TikTok,2026-03-14
181,আশা করি ফোনটা বাজে হবে।,YouTube,2026-04-02
182,প্রতারণা কোয়ালিটির ফোনটা। 😜,Daraz,2026-03-04
183,তাদের সার্ভিসটি একদম সাধারণ। 🥱,Daraz,2026-04-04
184,গানটা চমৎকার কিন্তু দাম বেশি। 😓,Facebook,2026-03-12
185,আশা করি সিনেমাটা গড়পড়তা হবে।,TikTok,2026-04-04
186,আশা করি সার্ভিসটি আরও ভালো হতে পারত হবে। 🧨,YouTube,2026-03-20
187,তাদের সিনেমাটা একদম দারুণ। 😄,Instagram,2026-02-15
188,খাবারটা খুবই খারাপ হয়েছে। 😫,Daraz,2026-02-19
189,মনমুগ্ধকর পণ্যটি! 🙇,Daraz,2026-04-05
190,আশা করি অ্যাপটা অস্থির হবে। 🔥,TikTok,2026-02-02
191,আশা করি অ্যাপটা ভালো না খারাপ না হবে। 🦺,TikTok,2026-01-01
192,এই সার্ভিসটিটা বেশ ঝাক্কাস।,YouTube,2026-01-21
193,আশা করি ভিডিওটা অস্থির হবে। 😻,Instagram,2026-03-03
194,পণ্যটি খুবই খারাপ হয়েছে।,TikTok,2026-01-21
195,এই পণ্যটিটা বেশ দারুণ। 🙇,Instagram,2026-03-18
196,আমার মতে ডেলিভারি চলবে। 🦷,Instagram,2026-01-22
197,এই প্যাকেজিংটা বেশ দারুণ।,Daraz,2026-02-28
198,ফোনটা ফালতু হয়েছে।,TikTok,2026-03-29
199,সিনেমাটা জটিল হয়েছে। 🙉,TikTok,2026-04-07
200,গানটা মোটামুটি কিন্তু দাম বেশি। 🦝,Facebook,2026-03-31
201,প্রতারণা অ্যাপটা! 😕,Instagram,2026-04-09
202,প্যাকেজিং বিরক্তিকর কিন্তু দাম বেশি।,Facebook,2026-04-01
203,গানটা চমৎকার কিন্তু দাম বেশি। 😠,Instagram,2026-02-16
204,ডেলিভারি বিরক্তিকর কিন্তু দাম বেশি। 😸,Daraz,2026-03-29
205,তাদের গানটা একদম চলনসই।,TikTok,2026-03-03
206,জঘন্য অ্যাপটা! 😦,YouTube,2026-01-13
207,গানটা জঘন্য হয়েছে।,Facebook,2026-01-12
208,চলবে অ্যাপটা!,Daraz,2026-01-11
209,এই প্যাকেজিংটা বেশ বিরক্তিকর। 😸,Facebook,2026-04-10
210,এই পণ্যটিটা বেশ খুবই খারাপ।,TikTok,2026-03-07
211,আমার মতে পণ্যটি মনমুগ্ধকর। 😅,Facebook,2026-02-05
212,আমার মতে অ্যাপটা জঘন্য। 🙈,Facebook,2026-01-12
213,আশা করি প্যাকেজিং ভালো না খারাপ না হবে। 🦅,YouTube,2026-03-19
214,এই প্যাকেজিংটা বেশ বাজে।,TikTok,2026-01-14
215,এই সার্ভিসটিটা বেশ বিরক্তিকর। 🙍,TikTok,2026-02-02
216,আশা করি সিনেমাটা ঠিক আছে হবে। 🦴,Instagram,2026-03-17
217,আমার মতে সার্ভিসটি অখাদ্য। 😏,Daraz,2026-02-22
218,এই ডেলিভারিটা বেশ খুবই ভালো।,Daraz,2026-01-10
219,এই খাবারটাটা বেশ খুবই খারাপ।,YouTube,2026-03-05
220,আমার মতে ডেলিভারি খুবই ভালো।,YouTube,2026-03-21
221,সার্ভিসটি ফাটাফাটি হয়েছে। 🙉,Facebook,2026-03-03
222,তাদের ডেলিভারি একদম চলনসই। 🨩,TikTok,2026-02-05
223,পণ্যটি ঝাক্কাস কিন্তু দাম বেশি। 🙉,Facebook,2026-03-06
224,অসাধারণ কোয়ালিটির সিনেমাটা।,Facebook,2026-01-02
225,এই খাবারটাটা বেশ মনমুগ্ধকর।,Daraz,2026-01-31
226,জঘন্য কোয়ালিটির খাবারটা। 😣,Daraz,2026-02-16
227,আমার মতে প্যাকেজিং দারুণ। 😛,YouTube,2026-03-13
228,ফোনটা ফাটাফাটি হয়েছে।,Instagram,2026-01-18
229,ভালো না খারাপ না কোয়ালিটির গানটা।,TikTok,2026-03-14
230,সেরা কোয়ালিটির ভিডিওটা। 🙌,Instagram,2026-04-06
231,আশা করি গানটা সাধারণ হবে।,Facebook,2026-02-14
232,তাদের প্যাকেজিং একদম জটিল। 😝,Daraz,2026-02-11
233,সিনেমাটা চলবে কিন্তু দাম বেশি। 🦵,YouTube,2026-01-22
234,প্যাকেজিং জঘন্য কিন্তু দাম বেশি। 👎,Facebook,2026-01-21
235,ডেলিভারি সাধারণ কিন্তু দাম বেশি।,Instagram,2026-04-10
236,গানটা চলনসই কিন্তু দাম বেশি।,Facebook,2026-01-17
237,তাদের সার্ভিসটি একদম ঠিক আছে।,Facebook,2026-01-09
238,অস্থির পণ্যটি!,TikTok,2026-01-20
239,তাদের ডেলিভারি একদম ফাটাফাটি।,YouTube,2026-01-04
240,এই সিনেমাটাটা বেশ বেকার। 😭,TikTok,2026-01-23
241,এই প্যাকেজিংটা বেশ আরও ভালো হতে পারত। 🦺,TikTok,2026-01-30
242,তাদের অ্যাপটা একদম টাকা নষ্ট।,Facebook,2026-03-08
243,ডেলিভারি বেকার হয়েছে। 😪,Instagram,2026-02-08
244,আশা করি ভিডিওটা মোটামুটি হবে।,TikTok,2026-02-25
245,আমার মতে অ্যাপটা আরও ভালো হতে পারত।,Instagram,2026-03-22
246,এই ডেলিভারিটা বেশ সাধারণ। 🨙,Facebook,2026-01-24
247,সাধারণ কোয়ালিটির সিনেমাটা।,Facebook,2026-01-20
248,জঘন্য কোয়ালিটির ডেলিভারি। 😏,Facebook,2026-01-20
249,প্রতারণা কোয়ালিটির সিনেমাটা। 😡,Daraz,2026-01-11
250,অস্থির ডেলিভারি! 😉,YouTube,2026-02-02
251,অস্থির কোয়ালিটির ভিডিওটা।,Facebook,2026-01-26
252,ভিডিওটা চলনসই কিন্তু দাম বেশি। 🦎,Daraz,2026-01-21
253,সাধারণ কোয়ালিটির সার্ভিসটি। 🥱,Daraz,2026-01-07
254,আশা করি ভিডিওটা অস্থির হবে।,Daraz,2026-03-16
255,আশা করি সিনেমাটা গড়পড়তা হবে। 🥾,YouTube,2026-03-05
256,আশা করি পণ্যটি মোটামুটি হবে। 🧲,TikTok,2026-01-14
257,আমার মতে খাবারটা চলনসই।,Instagram,2026-02-15
258,এই সিনেমাটাটা বেশ ফাটাফাটি। 😽,YouTube,2026-03-14
259,তাদের সিনেমাটা একদম সাধারণ।,YouTube,2026-02-27
260,সিনেমাটা বাজে কিন্তু দাম বেশি। 😢,TikTok,2026-02-16
261,আমার মতে সার্ভিসটি আরও ভালো হতে পারত। 🦾,TikTok,2026-01-20
262,চলবে খাবারটা! 😼,Facebook,2026-01-17
263,ভিডিওটা ফালতু হয়েছে। 🙍,Instagram,2026-03-26
264,আশা করি ডেলিভারি মোটামুটি হবে।,Facebook,2026-01-02
265,সার্ভিসটি বেকার হয়েছে।,Instagram,2026-02-17
266,বাজে গানটা! 👎,YouTube,2026-03-08
267,আমার মতে ভিডিওটা খুবই খারাপ। 😇,TikTok,2026-04-06
268,ভালো না খারাপ না কোয়ালিটির প্যাকেজিং। 🦬,Facebook,2026-01-22
269,গড়পড়তা কোয়ালিটির খাবারটা। 🨦,Daraz,2026-03-12
270,আশা করি অ্যাপটা অখাদ্য হবে। 😮,TikTok,2026-01-28
271,ভালো না খারাপ না কোয়ালিটির ডেলিভারি। 🦤,Facebook,2026-04-03
272,ফোনটা সাধারণ হয়েছে।,YouTube,2026-01-28
273,তাদের গানটা একদম বিরক্তিকর।,Instagram,2026-02-15
274,এই ভিডিওটাটা বেশ ঠিক আছে। 🥖,TikTok,2026-02-21
275,তাদের খাবারটা একদম ফাটাফাটি। 🙌,TikTok,2026-03-24
276,অ্যাপটা চলবে হয়েছে। 🦔,Daraz,2026-02-25
277,প্যাকেজিং চমৎকার কিন্তু দাম বেশি।,TikTok,2026-01-06
278,তাদের গানটা একদম খুবই খারাপ।,Instagram,2026-02-27
279,এই ভিডিওটাটা বেশ অস্থির। 😄,YouTube,2026-02-13
280,সাধারণ অ্যাপটা!,Instagram,2026-04-10
281,খুবই খারাপ কোয়ালিটির গানটা।,TikTok,2026-01-26
282,ঠিক আছে ভিডিওটা!,Instagram,2026-02-11
283,আশা করি অ্যাপটা অস্থির হবে।,Daraz,2026-02-14
284,জটিল কোয়ালিটির খাবারটা। 😹,Facebook,2026-01-30
285,সার্ভিসটি চলবে হয়েছে।,TikTok,2026-01-19
286,এই খাবারটাটা বেশ অসাধারণ। 😍,Daraz,2026-01-27
287,সাধারণ কোয়ালিটির গানটা। 🥣,Facebook,2026-02-18
288,ডেলিভারি দারুণ হয়েছে।,TikTok,2026-02-04
289,আশা করি অ্যাপটা সেরা হবে। 😍,Daraz,2026-03-25
290,ভালো না খারাপ না কোয়ালিটির সার্ভিসটি। 🧇,Facebook,2026-01-24
291,আমার মতে পণ্যটি মোটামুটি। 🦍,Daraz,2026-03-04
292,এই খাবারটাটা বেশ প্রতারণা।,TikTok,2026-02-05
293,এই পণ্যটিটা বেশ বিরক্তিকর।,Daraz,2026-02-20
294,প্যাকেজিং ঠিক আছে কিন্তু দাম বেশি।,YouTube,2026-02-24
295,তাদের সিনেমাটা একদম বিরক্তিকর।,YouTube,2026-03-16
296,তাদের ডেলিভারি একদম ঝাক্কাস। 😄,TikTok,2026-01-21
297,আশা করি সার্ভিসটি গড়পড়তা হবে। 🥤,Facebook,2026-04-08
298,এই ডেলিভারিটা বেশ বেকার।,YouTube,2026-01-14
299,আমার মতে প্যাকেজিং সাধারণ। 🥺,Facebook,2026-02-15
300,খাবারটা জঘন্য কিন্তু দাম বেশি। 😭,YouTube,2026-01-25
301,আমার মতে ডেলিভারি অস্থির। 😑,YouTube,2026-01-09
302,আশা করি প্যাকেজিং বেকার হবে। 😏,Instagram,2026-02-21
303,খাবারটা অখাদ্য হয়েছে। 😦,Instagram,2026-01-06
304,অ্যাপটা মোটামুটি কিন্তু দাম বেশি। 🧠,Facebook,2026-01-25
305,তাদের ডেলিভারি একদম বেকার। 😸,Facebook,2026-03-30
306,বিরক্তিকর সার্ভিসটি!,TikTok,2026-03-31
307,তাদের সিনেমাটা একদম বাজে। 🙁,YouTube,2026-02-28
308,চলবে ফোনটা!,Instagram,2026-03-23
309,তাদের গানটা একদম জঘন্য।,Instagram,2026-01-06
310,তাদের ফোনটা একদম গড়পড়তা।,Facebook,2026-02-23
311,জঘন্য ডেলিভারি! 😋,Facebook,2026-03-21
312,বাজে কোয়ালিটির গানটা।,TikTok,2026-03-26
313,প্যাকেজিং জটিল হয়েছে।,TikTok,2026-02-05
314,তাদের পণ্যটি একদম দারুণ।,Daraz,2026-01-05
315,ভালো না খারাপ না ডেলিভারি!,Instagram,2026-01-23
316,গড়পড়তা কোয়ালিটির প্যাকেজিং। 🦛,Facebook,2026-01-12
317,অখাদ্য সার্ভিসটি!,YouTube,2026-01-16
318,আমার মতে অ্যাপটা ঠিক আছে। 🥚,TikTok,2026-04-04
319,এই সিনেমাটাটা বেশ জটিল। 😠,Daraz,2026-03-09
320,জটিল কোয়ালিটির প্যাকেজিং। 😽,Instagram,2026-01-24
321,বাজে ভিডিওটা!,Facebook,2026-04-05
322,আশা করি অ্যাপটা বাজে হবে।,YouTube,2026-01-02
323,এই সার্ভিসটিটা বেশ টাকা নষ্ট। 😚,Facebook,2026-01-15
324,তাদের প্যাকেজিং একদম মোটামুটি।,Daraz,2026-03-28
325,তাদের ফোনটা একদম ফাটাফাটি। 🙉,Daraz,2026-03-01
326,আশা করি পণ্যটি সাধারণ হবে। 😆,YouTube,2026-03-15
327,এই সার্ভিসটিটা বেশ জঘন্য। 😚,Instagram,2026-03-22
328,গড়পড়তা অ্যাপটা! 🧿,Daraz,2026-04-01
329,ফালতু কোয়ালিটির অ্যাপটা। 😜,Instagram,2026-02-08
330,আমার মতে খাবারটা চমৎকার। 😹,TikTok,2026-01-04
331,মনমুগ্ধকর কোয়ালিটির ভিডিওটা। 🙇,Daraz,2026-04-10
332,আমার মতে গানটা দারুণ। 😺,Instagram,2026-04-02
333,আশা করি প্যাকেজিং অসাধারণ হবে। 😂,Facebook,2026-03-08
334,আমার মতে প্যাকেজিং সেরা।,YouTube,2026-02-06
335,তাদের সার্ভিসটি একদম টাকা নষ্ট।,Facebook,2026-01-02
336,আশা করি ভিডিওটা ঝাক্কাস হবে। 😛,YouTube,2026-04-01
337,আশা করি সার্ভিসটি সেরা হবে। ❤️,YouTube,2026-01-04
338,চমৎকার অ্যাপটা! 😉,TikTok,2026-03-17
339,এই প্যাকেজিংটা বেশ প্রতারণা।,YouTube,2026-04-02
340,তাদের সিনেমাটা একদম জটিল।,Instagram,2026-01-13
341,আমার মতে সিনেমাটা চলনসই। 🥣,TikTok,2026-02-03
342,ভালো না খারাপ না কোয়ালিটির খাবারটা। 😷,Instagram,2026-01-15
343,তাদের ডেলিভারি একদম মনমুগ্ধকর। 😩,Facebook,2026-02-11
344,সিনেমাটা আরও ভালো হতে পারত কিন্তু দাম বেশি।,YouTube,2026-03-12
345,খাবারটা খুবই ভালো কিন্তু দাম বেশি। 😶,TikTok,2026-04-11
346,জটিল কোয়ালিটির সার্ভিসটি।,TikTok,2026-03-01
347,অস্থির ডেলিভারি! 😨,Daraz,2026-03-05
348,তাদের প্যাকেজিং একদম চমৎকার। 😹,TikTok,2026-02-07
349,এই ভিডিওটাটা বেশ মনমুগ্ধকর। 😟,Instagram,2026-04-02
350,প্যাকেজিং চমৎকার কিন্তু দাম বেশি। 😝,Facebook,2026-02-17
351,মনমুগ্ধকর গানটা! 😍,YouTube,2026-02-25
352,অ্যাপটা অখাদ্য কিন্তু দাম বেশি। 😋,YouTube,2026-03-02
353,এই অ্যাপটাটা বেশ জঘন্য। 😿,YouTube,2026-01-18
354,জঘন্য অ্যাপটা!,Instagram,2026-02-28
